date_GMT,home_team_name,away_team_name,Pre-Match PPG (Home),Pre-Match PPG (Away),PPG_diff
2024-02-16 18:00:00,Torino,Lecce,1.82,0.42,1.4000000000000001
2024-02-16 20:00:00,Inter Milan,Salernitana,2.55,0.55,1.9999999999999998
2024-02-17 19:45:00,Atalanta,Sassuolo,2.33,0.67,1.6600000000000001
2024-02-23 19:45:00,Bologna,Hellas Verona,2.42,0.46,1.96
2024-02-25 11:30:00,Juventus,Frosinone,2.25,0.25,2.0
2024-02-25 17:00:00,Lecce,Inter Milan,1.58,2.67,-1.0899999999999999
2024-02-25 19:45:00,AC Milan,Atalanta,2.33,1.27,1.06
2024-02-28 19:45:00,Inter Milan,Atalanta,2.55,1.27,1.2799999999999998
2024-03-03 14:00:00,Frosinone,Lecce,1.67,0.42,1.25
2024-03-03 17:00:00,Atalanta,Bologna,2.33,0.91,1.42
2024-03-04 19:45:00,Inter Milan,Genoa,2.55,1.0,1.5499999999999998
2024-03-09 23:00:00,Lecce,Hellas Verona,1.58,0.46,1.12
2024-03-09 23:00:00,AC Milan,Empoli,2.33,1.0,1.33
2024-02-17 15:00:00,Celtic,Kilmarnock,2.42,0.92,1.5
2024-02-18 12:00:00,St. Johnstone,Rangers,1.31,2.33,-1.02
2024-02-24 15:00:00,St. Mirren,St. Johnstone,1.62,0.58,1.04
2024-02-25 12:00:00,Motherwell,Celtic,1.23,2.46,-1.23
2024-02-28 19:45:00,Celtic,Dundee,2.42,1.08,1.3399999999999999
2024-03-02 15:00:00,Rangers,Motherwell,2.5,0.82,1.6800000000000002
2024-02-17 20:30:00,Porto,Estrela Amadora,2.3,0.8,1.4999999999999998
2024-02-18 18:00:00,GD Estoril Praia,Gil Vicente,1.6,0.3,1.3
2024-02-18 18:00:00,Benfica,FC Vizela,2.6,1.0,1.6
2024-02-24 23:00:00,Benfica,Portimonense,2.6,0.91,1.69
2024-03-02 23:00:00,Moreirense FC,Rio Ave FC,1.7,0.5,1.2
2024-03-02 23:00:00,Sporting CP,Farense,3.0,1.1,1.9
2024-03-09 23:00:00,Benfica,GD Estoril Praia,2.6,0.45,2.15
2024-03-09 23:00:00,Vitória Guimarães,Famalicão,2.27,1.0,1.27
2024-03-09 23:00:00,Gil Vicente,GD Chaves,1.73,0.45,1.28
2024-02-17 17:30:00,RB Leipzig,Borussia M'gladbach,2.09,0.7,1.39
2024-02-23 19:30:00,Bayer Leverkusen,Mainz 05,2.64,0.55,2.09
2024-02-24 14:30:00,Stuttgart,Köln,2.55,0.64,1.9099999999999997
2024-02-24 17:30:00,Bayern München,RB Leipzig,2.55,1.4,1.15
2024-02-25 14:30:00,Eintracht Frankfurt,Wolfsburg,1.9,0.73,1.17
2024-03-03 14:30:00,Köln,Bayer Leverkusen,0.9,2.6,-1.7000000000000002
2024-03-08 19:30:00,Stuttgart,Union Berlin,2.55,0.45,2.0999999999999996
2024-03-09 14:30:00,Bayern München,Mainz 05,2.55,0.55,1.9999999999999998
2024-03-09 14:30:00,RB Leipzig,Darmstadt 98,2.09,0.6,1.4899999999999998
2024-03-10 18:30:00,Bayer Leverkusen,Wolfsburg,2.64,0.73,1.9100000000000001
2024-02-17 13:00:00,Atlético Madrid,UD Las Palmas,2.83,1.17,1.6600000000000001
2024-02-17 17:30:00,Celta de Vigo,FC Barcelona,0.83,2.09,-1.2599999999999998
2024-02-17 20:00:00,Valencia CF,Sevilla FC,2.09,0.82,1.27
2024-02-18 13:00:00,Rayo Vallecano,Real Madrid,0.73,2.42,-1.69
2024-02-18 20:00:00,Real Betis,Deportivo Alavés,1.92,0.83,1.0899999999999999
2024-02-24 15:15:00,FC Barcelona,Getafe CF,2.15,0.75,1.4
2024-02-25 20:00:00,Real Madrid,Sevilla FC,2.67,0.82,1.85
2024-02-26 20:00:00,Girona FC,Rayo Vallecano,2.42,1.23,1.19
2024-03-03 15:15:00,Atlético Madrid,Real Betis,2.83,1.25,1.58
2024-03-08 20:00:00,FC Barcelona,RCD Mallorca,2.15,0.58,1.5699999999999998
2024-03-09 13:00:00,Valencia CF,Getafe CF,2.09,0.75,1.3399999999999999
2024-03-09 20:00:00,Girona FC,CA Osasuna,2.42,1.17,1.25
2024-03-10 17:30:00,Real Madrid,Celta de Vigo,2.67,0.83,1.8399999999999999
2024-02-17 15:00:00,Burnley,Arsenal,0.42,1.92,-1.5
2024-02-17 15:00:00,Tottenham Hotspur,Wolverhampton Wanderers,2.25,1.17,1.08
2024-02-17 17:30:00,Manchester City,Chelsea,2.45,1.33,1.12
2024-02-20 19:30:00,Manchester City,Brentford,2.45,0.91,1.54
2024-02-21 19:30:00,Liverpool,Luton Town,2.67,0.82,1.85
2024-02-24 15:00:00,Aston Villa,Nottingham Forest,2.33,0.75,1.58
2024-02-24 15:00:00,Manchester United,Fulham,1.83,0.58,1.25
2024-02-24 20:00:00,Arsenal,Newcastle United,2.42,0.92,1.5
2024-02-25 13:30:00,Wolverhampton Wanderers,Sheffield United,1.5,0.42,1.08
2024-03-02 15:00:00,Tottenham Hotspur,Crystal Palace,2.25,1.0,1.25
2024-03-04 20:00:00,Sheffield United,Arsenal,0.67,1.92,-1.25
2024-03-09 17:30:00,Arsenal,Brentford,2.42,0.91,1.5099999999999998
2024-03-10 14:00:00,Brighton & Hove Albion,Nottingham Forest,1.92,0.75,1.17
2024-02-17 16:00:00,Lille,Le Havre,2.3,0.91,1.3899999999999997
2024-02-17 20:00:00,Nantes,PSG,1.09,2.4,-1.3099999999999998
2024-02-18 19:45:00,Brest,Olympique Marseille,1.9,0.7,1.2
2024-02-25 14:00:00,Nice,Clermont,2.18,0.9,1.2800000000000002
2024-02-25 16:05:00,PSG,Rennes,2.36,1.3,1.0599999999999998
2024-02-25 19:45:00,Olympique Marseille,Montpellier,2.09,1.0,1.0899999999999999
2024-03-03 16:05:00,Rennes,Lorient,1.64,0.6,1.04
2024-03-09 23:00:00,Olympique Marseille,Nantes,2.09,1.0,1.0899999999999999
2024-03-09 23:00:00,Nice,Montpellier,2.18,1.0,1.1800000000000002
2024-03-10 12:00:00,PSG,Reims,2.36,1.27,1.0899999999999999
2024-02-17 19:45:00,Royal Antwerp FC,KV Mechelen,2.33,1.17,1.1600000000000001
2024-02-18 15:00:00,KV Kortrijk,Union Saint-Gilloise,1.0,2.25,-1.25
2024-02-18 17:30:00,RSC Anderlecht,Sint-Truiden,2.5,1.0,1.5
2024-02-25 17:30:00,Union Saint-Gilloise,Standard Liège,2.46,0.92,1.54
2024-03-03 15:00:00,Royal Antwerp FC,Sint-Truiden,2.33,1.0,1.33
2024-03-03 17:30:00,RSC Anderlecht,AS Eupen,2.5,0.77,1.73
2024-03-10 15:00:00,Club Brugge,OH Leuven,2.08,0.69,1.3900000000000001
2024-03-10 17:30:00,Union Saint-Gilloise,KAA Gent,2.46,1.33,1.13
2024-02-17 15:00:00,Bolton Wanderers,Charlton Athletic,2.19,0.67,1.52
2024-02-17 15:00:00,Fleetwood Town,Barnsley,0.75,2.0,-1.25
2024-02-17 15:00:00,Peterborough United,Blackpool,2.0,0.87,1.13
2024-02-17 15:00:00,Portsmouth,Reading,2.13,0.69,1.44
2024-02-23 19:45:00,Wigan Athletic,Cheltenham Town,1.75,0.73,1.02
2024-02-24 15:00:00,Bristol Rovers,Carlisle United,1.44,0.4,1.04
2024-02-27 19:45:00,Derby County,Charlton Athletic,1.87,0.67,1.2000000000000002
2024-03-02 15:00:00,Bolton Wanderers,Cambridge United,2.19,0.71,1.48
2024-03-09 15:00:00,Oxford United,Cheltenham Town,1.81,0.73,1.08
2024-03-12 19:45:00,Carlisle United,Barnsley,0.88,2.0,-1.12
2024-03-12 19:45:00,Derby County,Reading,1.87,0.69,1.1800000000000002
2024-03-12 19:45:00,Portsmouth,Burton Albion,2.13,0.81,1.3199999999999998
